id,fecha,convocatoria,facultad,carrera,tipo_colegio,estado_pago,concepto,monto,paso_embudo
2055,2023-01-10 00:29:13,2023-I,Económicas,Economía,Privado,Validado,Examen,247.08,2
1746,2023-01-10 05:29:35,2023-I,Otras,Ing. Mecánica,Privado,Observado,Inscripción,280.05,1
1539,2023-01-10 08:25:08,2023-I,RRNN,Ing. Ambiental,Estatal,Observado,Matrícula,457.73,1
4959,2023-01-10 15:39:32,2023-I,Agronomía,Agronomía,Estatal,Validado,Inscripción,246.94,2
3703,2023-01-10 18:12:21,2023-I,Zootecnia,Zootecnia,Privado,Validado,Inscripción,276.98,3
5,2023-01-11 00:16:31,2023-I,Económicas,Administración,Estatal,Validado,Inscripción,272.09,2
2321,2023-01-11 02:30:56,2023-I,RRNN,Ing. Forestal,Estatal,Validado,Inscripción,247.41,3
623,2023-01-11 06:27:08,2023-I,RRNN,Ing. Forestal,Estatal,Pendiente,Inscripción,225.54,1
4388,2023-01-11 16:46:55,2023-I,Económicas,Administración,Estatal,Observado,Inscripción,272.47,1
892,2023-01-11 17:58:58,2023-I,Económicas,Administración,Privado,Validado,Inscripción,240.78,3
1549,2023-01-11 19:19:28,2023-I,Económicas,Administración,Privado,Observado,Examen,178.82,1
1070,2023-01-11 20:49:58,2023-I,Zootecnia,Zootecnia,Estatal,Validado,Examen,183.74,2
708,2023-01-12 01:20:47,2023-I,Ing. Informática,Ing. Informática y Sistemas,Estatal,Validado,Matrícula,450.13,3
4879,2023-01-12 05:44:52,2023-I,Agronomía,Agronomía,Privado,Validado,Matrícula,437.19,3
2377,2023-01-12 12:42:26,2023-I,Otras,Desarrollo Rural,Estatal,Observado,Inscripción,273.87,1
1287,2023-01-12 13:30:51,2023-I,RRNN,Ing. Forestal,Estatal,Validado,Inscripción,259.39,2
2580,2023-01-12 18:22:05,2023-I,Ing. Informática,Ing. Informática y Sistemas,Estatal,Validado,Inscripción,260.35,2
4700,2023-01-12 18:43:27,2023-I,RRNN,Ing. RRNN,Estatal,Validado,Inscripción,246.66,3
3076,2023-01-12 20:56:30,2023-I,Agronomía,Agronomía,Estatal,Pendiente,Examen,237.03,1
2960,2023-01-12 22:12:54,2023-I,Zootecnia,Zootecnia,Privado,Observado,Matrícula,449.45,1
4821,2023-01-13 05:49:12,2023-I,Agronomía,Agronomía,Privado,Validado,Examen,166.48,3
2652,2023-01-13 06:46:57,2023-I,Ing. Informática,Ing. Informática y Sistemas,Estatal,Validado,Matrícula,449.6,3
1127,2023-01-13 09:54:56,2023-I,Otras,Desarrollo Rural,Estatal,Observado,Inscripción,227.01,1
883,2023-01-13 13:54:59,2023-I,Zootecnia,Zootecnia,Estatal,Validado,Examen,181.32,3
293,2023-01-13 15:59:18,2023-I,Otras,Desarrollo Rural,Estatal,Validado,Inscripción,277.32,3
3650,2023-01-13 18:59:28,2023-I,Económicas,Economía,Estatal,Validado,Examen,179.17,3
3434,2023-01-13 21:21:29,2023-I,Otras,Ing. Mecánica,Privado,Validado,Inscripción,258.46,2
286,2023-01-13 22:53:14,2023-I,Zootecnia,Zootecnia,Privado,Validado,Examen,233.89,2
4311,2023-01-14 04:45:24,2023-I,RRNN,Ing. Conser. Suelos,Estatal,Validado,Inscripción,255.06,3
4713,2023-01-14 08:45:32,2023-I,Ing. Informática,Ing. Informática y Sistemas,Privado,Pendiente,Inscripción,238.63,1
4762,2023-01-14 09:34:37,2023-I,RRNN,Ing. RRNN,Estatal,Validado,Inscripción,234.95,2
1271,2023-01-14 23:34:33,2023-I,RRNN,Ing. RRNN,Estatal,Pendiente,Inscripción,208.93,1
4234,2023-01-14 23:46:07,2023-I,RRNN,Ing. Forestal,Privado,Validado,Inscripción,227.06,3
1774,2023-01-15 03:41:46,2023-I,RRNN,Ing. RRNN,Estatal,Validado,Examen,245.02,3
3924,2023-01-15 03:56:25,2023-I,RRNN,Ing. Ambiental,Privado,Validado,Otros,105.12,2
4958,2023-01-15 07:31:12,2023-I,Económicas,Contabilidad,Privado,Validado,Matrícula,414.37,3
3710,2023-01-15 15:32:45,2023-I,Otras,Ing. Mecánica,Privado,Pendiente,Examen,194.55,1
1147,2023-01-16 01:29:17,2023-I,Económicas,Contabilidad,Privado,Validado,Examen,179.51,2
3432,2023-01-16 04:00:44,2023-I,Otras,Ing. Mecánica,Estatal,Validado,Matrícula,400.78,3
4906,2023-01-16 12:56:52,2023-I,Otras,Ing. Mecánica,Estatal,Validado,Inscripción,223.69,3
2259,2023-01-16 13:41:52,2023-I,RRNN,Ing. RRNN,Privado,Validado,Examen,207.45,3
165,2023-01-16 14:22:27,2023-I,Ing. Informática,Ing. Informática y Sistemas,Estatal,Validado,Matrícula,407.0,3
2977,2023-01-16 18:18:17,2023-I,Ing. Informática,Ing. Informática y Sistemas,Estatal,Validado,Examen,248.04,2
1028,2023-01-16 20:06:42,2023-I,Otras,Desarrollo Rural,Privado,Validado,Inscripción,210.81,3
4965,2023-01-16 20:15:33,2023-I,Zootecnia,Zootecnia,Estatal,Validado,Matrícula,447.85,3
1306,2023-01-16 21:40:28,2023-I,RRNN,Ing. RRNN,Privado,Validado,Inscripción,201.82,2
2001,2023-01-17 00:06:04,2023-I,Otras,Desarrollo Rural,Estatal,Validado,Constancias,66.81,3
1389,2023-01-17 00:25:52,2023-I,Agronomía,Agronomía,Privado,Pendiente,Examen,156.04,1
3066,2023-01-17 07:49:00,2023-I,Otras,Desarrollo Rural,Privado,Validado,Constancias,69.34,2
3977,2023-01-17 11:05:46,2023-I,Otras,Ing. Mecánica,Privado,Validado,Examen,205.55,2
3973,2023-01-17 13:07:00,2023-I,Otras,Ing. Mecánica,Privado,Validado,Examen,182.34,3
668,2023-01-17 16:20:44,2023-I,Agronomía,Agronomía,Privado,Validado,Examen,223.76,3
3789,2023-01-17 17:55:07,2023-I,Agronomía,Agronomía,Estatal,Validado,Matrícula,371.27,3
3253,2023-01-17 23:41:12,2023-I,Agronomía,Agronomía,Estatal,Validado,Inscripción,235.29,2
4325,2023-01-18 00:16:11,2023-I,Agronomía,Agronomía,Estatal,Validado,Examen,184.25,2
3165,2023-01-18 02:04:02,2023-I,Otras,Desarrollo Rural,Estatal,Validado,Inscripción,243.75,3
4844,2023-01-18 12:01:42,2023-I,Económicas,Economía,Estatal,Validado,Matrícula,388.58,3
3698,2023-01-18 19:49:46,2023-I,Otras,Desarrollo Rural,Estatal,Pendiente,Matrícula,450.46,1
4257,2023-01-18 23:11:55,2023-I,Otras,Ing. Mecánica,Estatal,Validado,Examen,246.88,2
146,2023-01-19 16:02:15,2023-I,Económicas,Economía,Estatal,Observado,Inscripción,291.42,1
3530,2023-01-19 16:34:55,2023-I,Económicas,Administración,Estatal,Validado,Matrícula,435.62,3
1435,2023-01-19 19:31:07,2023-I,Económicas,Contabilidad,Privado,Observado,Inscripción,250.25,1
2418,2023-01-19 23:09:36,2023-I,Económicas,Administración,Estatal,Validado,Inscripción,279.93,2
3187,2023-01-20 08:39:06,2023-I,Zootecnia,Zootecnia,Privado,Observado,Examen,204.16,1
1213,2023-01-20 08:44:07,2023-I,Otras,Desarrollo Rural,Estatal,Observado,Examen,241.87,1
3022,2023-01-20 15:23:47,2023-I,Ing. Informática,Ing. Informática y Sistemas,Estatal,Validado,Otros,58.75,3
334,2023-01-20 21:00:19,2023-I,Zootecnia,Zootecnia,Privado,Validado,Examen,181.63,3
4254,2023-01-20 23:28:12,2023-I,Agronomía,Agronomía,Privado,Validado,Matrícula,400.09,3
1639,2023-01-21 05:16:01,2023-I,Zootecnia,Zootecnia,Privado,Validado,Examen,242.25,2
3557,2023-01-21 09:21:43,2023-I,Otras,Desarrollo Rural,Estatal,Validado,Inscripción,289.11,3
4100,2023-01-21 17:18:15,2023-I,RRNN,Ing. Ambiental,Privado,Validado,Otros,87.59,2
2821,2023-01-21 22:18:15,2023-I,Ing. Informática,Ing. Informática y Sistemas,Privado,Validado,Inscripción,204.79,3
1619,2023-01-22 02:08:46,2023-I,Ing. Informática,Ing. Informática y Sistemas,Privado,Validado,Matrícula,361.97,3
4860,2023-01-22 02:45:36,2023-I,Económicas,Administración,Privado,Validado,Inscripción,222.94,3
3991,2023-01-23 15:56:57,2023-I,Económicas,Economía,Estatal,Pendiente,Matrícula,472.85,1
1430,2023-01-23 17:10:25,2023-I,RRNN,Ing. RRNN,Estatal,Validado,Matrícula,427.26,3
1170,2023-01-23 22:34:15,2023-I,Económicas,Economía,Estatal,Validado,Inscripción,205.78,2
743,2023-01-24 02:43:12,2023-I,Zootecnia,Zootecnia,Estatal,Pendiente,Matrícula,418.5,1
972,2023-01-24 03:39:24,2023-I,Agronomía,Agronomía,Estatal,Pendiente,Inscripción,249.83,1
1072,2023-01-24 05:01:05,2023-I,Agronomía,Agronomía,Estatal,Validado,Examen,236.89,3
2480,2023-01-24 07:36:40,2023-I,Ing. Informática,Ing. Informática y Sistemas,Estatal,Validado,Examen,175.88,2
2490,2023-01-24 07:55:10,2023-I,Otras,Ing. Mecánica,Estatal,Validado,Matrícula,351.08,3
4103,2023-01-24 08:15:56,2023-I,Agronomía,Agronomía,Privado,Observado,Inscripción,260.83,1
3206,2023-01-24 11:26:04,2023-I,Económicas,Economía,Estatal,Pendiente,Examen,244.42,1
2265,2023-01-24 14:26:30,2023-I,Económicas,Contabilidad,Privado,Validado,Otros,144.15,3
888,2023-01-24 20:13:43,2023-I,Zootecnia,Zootecnia,Estatal,Validado,Inscripción,226.64,3
3671,2023-01-24 21:59:32,2023-I,Zootecnia,Zootecnia,Privado,Validado,Examen,157.2,3
1531,2023-01-25 02:26:11,2023-I,Otras,Ing. Mecánica,Privado,Validado,Examen,207.5,2
2367,2023-01-25 10:29:11,2023-I,RRNN,Ing. Conser. Suelos,Estatal,Validado,Examen,212.16,3
1220,2023-01-25 15:04:45,2023-I,Agronomía,Agronomía,Estatal,Validado,Matrícula,421.08,3
3949,2023-01-25 16:02:06,2023-I,RRNN,Ing. RRNN,Estatal,Validado,Examen,163.85,3
1821,2023-01-25 17:06:42,2023-I,Zootecnia,Zootecnia,Privado,Validado,Inscripción,215.44,2
3215,2023-01-25 22:10:19,2023-I,RRNN,Ing. RRNN,Estatal,Validado,Examen,228.41,2
4717,2023-01-26 01:32:36,2023-I,Agronomía,Agronomía,Privado,Validado,Examen,223.86,3
981,2023-01-26 03:44:47,2023-I,Otras,Desarrollo Rural,Estatal,Pendiente,Inscripción,254.63,1
35,2023-01-26 04:31:11,2023-I,Económicas,Economía,Estatal,Validado,Matrícula,441.1,3
4386,2023-01-26 05:22:45,2023-I,Zootecnia,Zootecnia,Estatal,Validado,Examen,249.19,3
177,2023-01-26 09:26:01,2023-I,Zootecnia,Zootecnia,Estatal,Validado,Inscripción,209.21,3
1044,2023-01-27 06:50:52,2023-I,Ing. Informática,Ing. Informática y Sistemas,Estatal,Observado,Examen,231.45,1
2740,2023-01-27 07:51:42,2023-I,RRNN,Ing. Ambiental,Estatal,Pendiente,Matrícula,380.95,1
2130,2023-01-27 14:03:33,2023-I,Ing. Informática,Ing. Informática y Sistemas,Privado,Validado,Examen,236.31,3
4480,2023-01-27 14:54:47,2023-I,Zootecnia,Zootecnia,Estatal,Validado,Examen,225.45,2
3475,2023-01-27 15:05:08,2023-I,Ing. Informática,Ing. Informática y Sistemas,Privado,Validado,Otros,138.15,3
2383,2023-01-27 16:11:36,2023-I,Zootecnia,Zootecnia,Privado,Validado,Examen,191.92,3
530,2023-01-27 23:37:19,2023-I,Económicas,Contabilidad,Estatal,Pendiente,Examen,206.37,1
3740,2023-01-28 12:00:08,2023-I,Económicas,Contabilidad,Estatal,Validado,Inscripción,238.71,2
4813,2023-01-28 13:44:14,2023-I,Otras,Desarrollo Rural,Privado,Observado,Inscripción,269.47,1
2751,2023-01-28 16:15:37,2023-I,Agronomía,Agronomía,Privado,Validado,Inscripción,235.35,2
3699,2023-01-28 18:02:53,2023-I,Agronomía,Agronomía,Estatal,Validado,Inscripción,203.73,3
2260,2023-01-28 19:47:28,2023-I,Económicas,Administración,Privado,Validado,Inscripción,203.08,3
1228,2023-01-29 11:36:11,2023-I,RRNN,Ing. RRNN,Privado,Observado,Inscripción,276.88,1
1087,2023-01-29 16:24:22,2023-I,Otras,Ing. Mecánica,Privado,Validado,Matrícula,433.3,3
3429,2023-01-30 03:51:04,2023-I,Otras,Ing. Mecánica,Estatal,Validado,Matrícula,453.91,3
943,2023-01-30 04:58:15,2023-I,Otras,Ing. Mecánica,Privado,Validado,Examen,217.36,3
1474,2023-01-30 05:02:52,2023-I,Económicas,Contabilidad,Privado,Validado,Inscripción,243.33,2
4369,2023-01-30 16:52:29,2023-I,Otras,Ing. Mecánica,Privado,Pendiente,Matrícula,351.92,1
480,2023-01-30 16:59:09,2023-I,Agronomía,Agronomía,Privado,Pendiente,Matrícula,487.21,1
4434,2023-01-30 20:06:48,2023-I,Económicas,Contabilidad,Privado,Pendiente,Inscripción,268.79,1
550,2023-01-30 22:26:39,2023-I,Económicas,Economía,Privado,Validado,Inscripción,294.48,3
1882,2023-01-31 01:05:36,2023-I,Otras,Ing. Mecánica,Privado,Pendiente,Matrícula,494.81,1
3522,2023-01-31 10:50:41,2023-I,RRNN,Ing. Forestal,Privado,Validado,Matrícula,446.47,3
2617,2023-02-01 05:17:38,2023-I,Zootecnia,Zootecnia,Estatal,Observado,Examen,248.01,1
3365,2023-02-01 10:40:19,2023-I,Ing. Informática,Ing. Informática y Sistemas,Privado,Observado,Inscripción,274.79,1
1377,2023-02-02 03:54:02,2023-I,Otras,Ing. Mecánica,Privado,Pendiente,Examen,234.7,1
2111,2023-02-02 09:28:05,2023-I,Otras,Ing. Mecánica,Privado,Validado,Otros,85.87,2
3808,2023-02-02 17:47:52,2023-I,Otras,Ing. Mecánica,Estatal,Validado,Constancias,45.23,3
3831,2023-02-02 20:16:35,2023-I,Ing. Informática,Ing. Informática y Sistemas,Privado,Pendiente,Inscripción,298.94,1
804,2023-02-02 20:27:45,2023-I,Otras,Desarrollo Rural,Estatal,Pendiente,Inscripción,206.1,1
4672,2023-02-03 03:09:33,2023-I,Económicas,Administración,Estatal,Validado,Examen,184.21,2
1229,2023-02-03 06:32:15,2023-I,Zootecnia,Zootecnia,Estatal,Validado,Constancias,76.15,2
2298,2023-02-03 07:52:26,2023-I,Zootecnia,Zootecnia,Privado,Validado,Examen,163.41,2
4233,2023-02-03 14:19:13,2023-I,Otras,Ing. Mecánica,Estatal,Pendiente,Examen,205.22,1
1851,2023-02-03 14:58:38,2023-I,RRNN,Ing. RRNN,Privado,Pendiente,Inscripción,267.82,1
78,2023-02-04 02:11:53,2023-I,Ing. Informática,Ing. Informática y Sistemas,Privado,Observado,Matrícula,365.56,1
973,2023-02-04 02:25:16,2023-I,Ing. Informática,Ing. Informática y Sistemas,Privado,Pendiente,Inscripción,248.83,1
2054,2023-02-04 02:31:49,2023-I,Agronomía,Agronomía,Privado,Validado,Inscripción,264.68,3
1714,2023-02-04 03:25:45,2023-I,Agronomía,Agronomía,Privado,Validado,Examen,174.83,3
2600,2023-02-04 05:07:42,2023-I,Ing. Informática,Ing. Informática y Sistemas,Privado,Validado,Matrícula,389.97,3
4253,2023-02-04 17:16:21,2023-I,Otras,Ing. Mecánica,Estatal,Validado,Inscripción,213.34,3
2563,2023-02-04 20:34:45,2023-I,Ing. Informática,Ing. Informática y Sistemas,Privado,Validado,Matrícula,401.51,3
2388,2023-02-05 13:07:37,2023-I,Agronomía,Agronomía,Privado,Validado,Inscripción,275.9,3
664,2023-02-05 19:41:11,2023-I,RRNN,Ing. Ambiental,Estatal,Validado,Examen,194.72,3
4529,2023-02-05 22:23:37,2023-I,Económicas,Contabilidad,Estatal,Validado,Inscripción,279.68,3
3189,2023-02-05 22:47:02,2023-I,Zootecnia,Zootecnia,Estatal,Validado,Inscripción,204.94,2
75,2023-02-05 23:06:12,2023-I,Otras,Ing. Mecánica,Estatal,Validado,Inscripción,287.87,2
239,2023-02-05 23:50:59,2023-I,Económicas,Economía,Privado,Pendiente,Inscripción,274.78,1
3884,2023-02-06 03:51:16,2023-I,Agronomía,Agronomía,Privado,Validado,Constancias,68.86,2
1092,2023-02-06 06:50:22,2023-I,Zootecnia,Zootecnia,Estatal,Validado,Examen,249.39,3
2281,2023-02-06 07:57:58,2023-I,RRNN,Ing. RRNN,Privado,Validado,Inscripción,255.09,2
4957,2023-02-06 10:40:47,2023-I,Otras,Desarrollo Rural,Privado,Observado,Examen,231.45,1
3526,2023-02-06 13:32:24,2023-I,Ing. Informática,Ing. Informática y Sistemas,Estatal,Validado,Inscripción,276.88,3
757,2023-02-06 17:18:51,2023-I,Económicas,Administración,Estatal,Pendiente,Examen,240.09,1
1477,2023-02-06 21:19:21,2023-I,Económicas,Contabilidad,Estatal,Pendiente,Examen,225.42,1
648,2023-02-07 01:00:05,2023-I,RRNN,Ing. RRNN,Privado,Validado,Inscripción,219.7,2
3670,2023-02-07 02:19:17,2023-I,Económicas,Administración,Estatal,Validado,Otros,90.51,2
4501,2023-02-07 02:48:30,2023-I,RRNN,Ing. Conser. Suelos,Estatal,Validado,Matrícula,360.15,3
1724,2023-02-07 04:45:08,2023-I,Otras,Ing. Mecánica,Estatal,Validado,Inscripción,256.02,2
4095,2023-02-07 07:59:31,2023-I,RRNN,Ing. Ambiental,Privado,Validado,Examen,199.8,3
1471,2023-02-07 08:02:27,2023-I,Económicas,Contabilidad,Privado,Pendiente,Inscripción,251.66,1
1525,2023-02-07 08:16:19,2023-I,Zootecnia,Zootecnia,Privado,Validado,Inscripción,267.17,3
700,2023-02-07 10:54:22,2023-I,Zootecnia,Zootecnia,Estatal,Validado,Inscripción,273.69,3
1040,2023-02-07 12:01:36,2023-I,Ing. Informática,Ing. Informática y Sistemas,Estatal,Validado,Otros,56.69,3
1990,2023-02-08 01:14:36,2023-I,Ing. Informática,Ing. Informática y Sistemas,Estatal,Observado,Examen,205.93,1
4003,2023-02-08 06:44:45,2023-I,Otras,Ing. Mecánica,Privado,Validado,Examen,188.52,3
4784,2023-02-08 11:40:59,2023-I,Ing. Informática,Ing. Informática y Sistemas,Privado,Validado,Otros,135.18,3
606,2023-02-08 14:19:09,2023-I,RRNN,Ing. Conser. Suelos,Estatal,Observado,Examen,219.65,1
4101,2023-02-08 15:49:06,2023-I,Otras,Desarrollo Rural,Estatal,Validado,Examen,157.41,3
3211,2023-02-09 09:27:08,2023-I,Ing. Informática,Ing. Informática y Sistemas,Privado,Pendiente,Examen,218.94,1
820,2023-02-09 11:46:05,2023-I,Otras,Ing. Mecánica,Estatal,Validado,Examen,169.83,2
2033,2023-02-09 12:48:01,2023-I,Otras,Ing. Mecánica,Estatal,Pendiente,Inscripción,276.33,1
1708,2023-02-09 15:32:07,2023-I,Económicas,Economía,Privado,Pendiente,Examen,234.12,1
4294,2023-02-10 00:25:12,2023-I,Otras,Desarrollo Rural,Estatal,Validado,Inscripción,284.36,3
3433,2023-02-10 02:11:03,2023-I,RRNN,Ing. Forestal,Privado,Validado,Inscripción,206.94,2
3316,2023-02-10 02:44:36,2023-I,Zootecnia,Zootecnia,Estatal,Validado,Inscripción,272.91,2
1259,2023-02-10 09:22:56,2023-I,RRNN,Ing. Forestal,Estatal,Validado,Inscripción,200.5,3
303,2023-02-10 16:07:40,2023-I,Zootecnia,Zootecnia,Privado,Validado,Examen,170.95,2
3081,2023-02-10 23:38:50,2023-I,RRNN,Ing. Conser. Suelos,Estatal,Validado,Matrícula,404.39,3
1772,2023-02-11 03:09:51,2023-I,Agronomía,Agronomía,Estatal,Pendiente,Matrícula,496.87,1
704,2023-02-11 03:58:47,2023-I,Zootecnia,Zootecnia,Estatal,Validado,Inscripción,203.2,2
2348,2023-02-11 09:37:32,2023-I,Zootecnia,Zootecnia,Estatal,Validado,Inscripción,219.16,2
1689,2023-02-11 10:15:32,2023-I,Zootecnia,Zootecnia,Estatal,Validado,Inscripción,225.6,3
1510,2023-02-11 17:55:30,2023-I,RRNN,Ing. Forestal,Estatal,Validado,Examen,214.6,2
4931,2023-02-11 21:26:57,2023-I,Ing. Informática,Ing. Informática y Sistemas,Estatal,Validado,Inscripción,285.99,2
4063,2023-02-12 03:52:23,2023-I,RRNN,Ing. Ambiental,Privado,Validado,Inscripción,242.26,3
2623,2023-02-12 20:29:41,2023-I,Zootecnia,Zootecnia,Estatal,Validado,Inscripción,251.51,3
4460,2023-02-13 05:36:23,2023-I,Otras,Desarrollo Rural,Estatal,Validado,Matrícula,460.22,3
3948,2023-02-13 15:57:10,2023-I,Agronomía,Agronomía,Estatal,Validado,Inscripción,214.69,3
4219,2023-02-14 01:38:37,2023-I,Otras,Desarrollo Rural,Estatal,Validado,Inscripción,200.49,3
2814,2023-02-14 03:25:13,2023-I,Zootecnia,Zootecnia,Estatal,Validado,Matrícula,438.48,3
2135,2023-02-14 06:24:10,2023-I,Ing. Informática,Ing. Informática y Sistemas,Estatal,Observado,Constancias,74.23,1
805,2023-02-14 06:37:34,2023-I,Agronomía,Agronomía,Privado,Observado,Examen,189.11,1
4545,2023-02-14 17:17:01,2023-I,Económicas,Contabilidad,Estatal,Validado,Examen,209.84,3
4694,2023-02-14 23:48:16,2023-I,Agronomía,Agronomía,Estatal,Pendiente,Matrícula,384.86,1
1352,2023-02-15 01:41:27,2023-I,RRNN,Ing. Ambiental,Privado,Observado,Inscripción,224.97,1
3627,2023-02-15 05:27:22,2023-I,Zootecnia,Zootecnia,Privado,Validado,Otros,95.56,3
4083,2023-02-15 06:30:12,2023-I,Zootecnia,Zootecnia,Estatal,Pendiente,Inscripción,216.31,1
2896,2023-02-15 09:51:06,2023-I,Económicas,Administración,Estatal,Validado,Inscripción,276.25,3
1972,2023-02-15 10:33:08,2023-I,Económicas,Administración,Estatal,Validado,Inscripción,274.07,3
561,2023-02-15 23:31:46,2023-I,RRNN,Ing. Forestal,Privado,Validado,Matrícula,473.66,3
4059,2023-02-16 02:24:53,2023-I,Otras,Ing. Mecánica,Estatal,Validado,Examen,246.16,3
716,2023-02-16 02:54:59,2023-I,Agronomía,Agronomía,Estatal,Validado,Inscripción,203.93,2
1496,2023-02-16 12:38:35,2023-I,Agronomía,Agronomía,Privado,Validado,Matrícula,353.05,3
4599,2023-02-16 17:20:07,2023-I,RRNN,Ing. Conser. Suelos,Estatal,Validado,Examen,242.81,3
3826,2023-02-16 21:04:07,2023-I,Económicas,Contabilidad,Estatal,Observado,Inscripción,249.26,1
4597,2023-02-16 23:24:47,2023-I,Económicas,Administración,Privado,Pendiente,Inscripción,279.47,1
67,2023-02-17 00:27:53,2023-I,Ing. Informática,Ing. Informática y Sistemas,Estatal,Validado,Inscripción,226.63,2
1421,2023-02-17 08:47:12,2023-I,RRNN,Ing. Ambiental,Privado,Observado,Inscripción,255.85,1
